page_name,likes,email,category,location,phone,fb_page,website
Ibn-Battuta,"221,658",,Asian restaurant · Barbecue restaurant · Continental restaurant,"Shop # 5&6, Sumya Comforts, Jamal-ud-Din Afghani Road, B.M.C.H.S., Main Traffic, Sharfabad, Adjacent HBL, near Bahadurabad Karachi, Pakistan ", 0311 2288882,https://www.facebook.com/ibnbattutapk/?ref=br_rs,https://www.instagram.com/ibnbattutapk
,,,,,,,
Chai Wala,"114,039",info@chaiwala.pk,Restaurant · Cafe · Cafeteria,"Shop 2 &3, Plot # 1C, Street 5, Chota Bukhari Commercial, Phase 6 DHA Karachi, Pakistan ",9825046486,https://www.facebook.com/ChaiWalapk/?ref=br_rs,https://www.foodpanda.pk/restaurant/s4wx/chai-wala-bara-bukhari-dha
,,,,,,,
Ranoush Villa,"53,245",,Restaurant,"F-46/1 Block No. 4, K.D.A. Scheme No. 5, Clifton, Karachi Karachi, Pakistan ", 0300 2779313,https://www.facebook.com/ranoush.villa/?ref=br_rs,
,,,,,,,
Al Habib Restaurant - Do Darya,"23,310",,Barbecue restaurant · Pakistani restaurant · Asian restaurant,"DHA, Phase 8, beach view, do darya Karachi, Pakistan ", 0300 9244872,https://www.facebook.com/alhabib.dodarya/?ref=br_rs,
,,,,,,,
foodpanda,"3,302,866",info@foodpanda.pk,Food service distributor · Restaurant,,,https://www.facebook.com/foodpanda.pk/?ref=br_rs,http://www.foodpanda.pk
,,,,,,,
All Pakistan Cafe & Restaurant Association - APCRA,"3,973",apcra.media@gmail.com,Community organisation,"Office # 202 2nd Floor Block C-1 Taj Complex Building , M.A Jinnah Road Karachi, Pakistan ",,https://www.facebook.com/APCRA/?ref=br_rs,
,,,,,,,
Alshaikh Restaurant,"21,177",alshaikh2016@yahoo.com,Family style restaurant,"A-44 near Noman Complex Block 13-D/3 Gulshan-e-Iqbal Karachi, Pakistan ", 0303 2118000,https://www.facebook.com/AlShaikhRestaurantKarachi/?ref=br_rs,
,,,,,,,
Tandoori Hut Restaurant,"24,099",order@tandoorihut.com.pk,Food delivery service · Turkish restaurant · Family style restaurant,"Boat Basin, Clifton Karachi, Pakistan ", (021) 35375786,https://www.facebook.com/tandoorihut/?ref=br_rs,https://www.youtube.com/c/tandoorihut
,,,,,,,
The White Biryani,"55,192",thewhitebiryani@gmail.com,Restaurant · Food delivery service,"Plot 22C, Rahat Lane 2, DHA Phase 6 Karachi, Pakistan ", 0333 1300991,https://www.facebook.com/TheWhiteBiryani/?ref=br_rs,
,,,,,,,
ROYAL ICE & SPICE,"81,248",info@royaliceandspice.com,Fast food restaurant · Barbecue restaurant · Pakistani restaurant,"1-C, Block-A, Sindhi Muslim Cooperative Housing Soceity Karachi, Pakistan ", (021) 34551384,https://www.facebook.com/ROYALICE.SPICE/?ref=br_rs,http://www.royaliceandspice.com
,,,,,,,
"GrillO - The Healthier Option (Karachi, Pakistan)","61,851",,Fast food restaurant,"Dilkusha Forum, Tariq Road Karachi, Pakistan ", (021) 111 474 556,https://www.facebook.com/GrilloPakistan/?ref=br_rs,http://www.grillo.pk
